Основная характеристика
тип установки            напольный
число дверей             1
дверцы                   распашные
материал                 лдсп
количество полок         3
особенности              штанга для одежды
размеры                  Ш 50 х В 230 Г 54 см
тон,цвет                 Белый Альпийский, Бетон чикаго светлый, Бежевый миндаль, Кашемир серый, Светло-серый
производитель            KAAS


Три полки и штанга обеспечивают удобную организацию одежды и аксессуаров. Отличный выбор для спальни или прихожей.
